,enzyme,gene_symbol
0,2.7.11.1,AKT3
1,2.7.11.1,SBK3
2,2.7.11.1,FPGT-TNNI3K
3,2.7.11.1,C8orf44-SGK3
4,2.7.11.1,SGK2
5,2.7.11.1,HIPK3
6,2.7.11.1,TNK2
7,2.7.11.1,SIK1B
8,2.7.11.1,TPTEP2-CSNK1E
9,2.7.11.1,SPEG
10,2.7.11.1,PAK4
11,2.7.11.1,STK25
12,2.7.11.1,ERN2
13,2.7.11.1,BUB1B-PAK6
14,2.7.11.1,NEK6
15,2.7.11.1,TLK2
16,2.7.11.1,RIPK3
17,2.7.11.1,PIM2
18,2.7.11.1,CHEK1
19,2.7.11.1,CIT
20,2.7.11.1,MAP4K5
21,2.7.11.1,MAP4K1
22,2.7.11.1,CHEK2
23,2.7.11.1,IRAK3
24,2.7.11.1,TP53RK
25,2.7.11.1,STK38
26,2.7.11.1,LRRK2
27,2.7.11.1,CSNK1A1L
28,2.7.11.1,RSKR
29,2.7.11.1,UHMK1
30,2.7.11.1,TAF1L
31,2.7.11.1,MYO3B
32,2.7.11.1,NEK7
33,2.7.11.1,TRPM6
34,2.7.11.1,STK35
35,2.7.11.1,CSNK1A1
36,2.7.11.1,CSNK1D
37,2.7.11.1,CSNK1E
38,2.7.11.1,CSNK1G2
39,2.7.11.1,CSNK1G3
40,2.7.11.1,CSNK2A1
41,2.7.11.1,CSNK2A2
42,2.7.11.1,HIPK4
43,2.7.11.1,PDIK1L
44,2.7.11.1,SIK1
45,2.7.11.1,NEK10
46,2.7.11.1,DAPK1
47,2.7.11.1,DAPK3
48,2.7.11.1,DCLK2
49,2.7.11.1,NIM1K
50,2.7.11.1,DMPK
51,2.7.11.1,MLKL
52,2.7.11.1,MARK2
53,2.7.11.1,STK32A
54,2.7.11.1,NRK
55,2.7.11.1,HIPK1
56,2.7.11.1,AKT1
57,2.7.11.1,AKT2
58,2.7.11.1,ERN1
59,2.7.11.1,AAK1
60,2.7.11.1,MAST1
61,2.7.11.1,STK38L
62,2.7.11.1,MAST3
63,2.7.11.1,TNIK
64,2.7.11.1,SMG1
65,2.7.11.1,MAST2
66,2.7.11.1,PASK
67,2.7.11.1,SIK2
68,2.7.11.1,SIK3
69,2.7.11.1,DAPK2
70,2.7.11.1,TSSK2
71,2.7.11.1,SGK3
72,2.7.11.1,MTOR
73,2.7.11.1,ANKK1
74,2.7.11.1,GAK
75,2.7.11.1,ULK3
76,2.7.11.1,LATS2
77,2.7.11.1,SRPK3
78,2.7.11.1,EIF2AK1
79,2.7.11.1,STK36
80,2.7.11.1,RPS6KA6
81,2.7.11.1,STK39
82,2.7.11.1,STK32C
83,2.7.11.1,CSNK2A3
84,2.7.11.1,KSR2
85,2.7.11.1,TSSK4
86,2.7.11.1,NEK8
87,2.7.11.1,MKNK2
88,2.7.11.1,HIPK2
89,2.7.11.1,HUNK
90,2.7.11.1,PIK3R4
91,2.7.11.1,NEK5
92,2.7.11.1,ILK
93,2.7.11.1,IRAK1
94,2.7.11.1,IRAK2
95,2.7.11.1,ARAF
96,2.7.11.1,MAST4
97,2.7.11.1,SBK1
98,2.7.11.1,LIMK1
99,2.7.11.1,LIMK2
100,2.7.11.1,MARK1
101,2.7.11.1,MARK3
102,2.7.11.1,PIM3
103,2.7.11.1,CIITA
104,2.7.11.1,MOS
105,2.7.11.1,EIF2AK4
106,2.7.11.1,ATM
107,2.7.11.1,NEK1
108,2.7.11.1,NEK2
109,2.7.11.1,NEK3
110,2.7.11.1,WEE2
111,2.7.11.1,MINK1
112,2.7.11.1,PAK1
113,2.7.11.1,PAK2
114,2.7.11.1,PAK3
115,2.7.11.1,TNNI3K
116,2.7.11.1,IRAK4
117,2.7.11.1,VRK3
118,2.7.11.1,TAOK3
119,2.7.11.1,PDPK1
120,2.7.11.1,STK26
121,2.7.11.1,PIM1
122,2.7.11.1,MYO3A
123,2.7.11.1,CSNK1G1
124,2.7.11.1,RIPK4
125,2.7.11.1,ATR
126,2.7.11.1,TRPM7
127,2.7.11.1,SNRK
128,2.7.11.1,ULK4
129,2.7.11.1,STK32B
130,2.7.11.1,CDC42BPG
131,2.7.11.1,BMP2K
132,2.7.11.1,RIOK2
133,2.7.11.1,PRKDC
134,2.7.11.1,EIF2AK2
135,2.7.11.1,STK31
136,2.7.11.1,PSKH1
137,2.7.11.1,PAK6
138,2.7.11.1,FAM20C
139,2.7.11.1,PAK5
140,2.7.11.1,TAOK1
141,2.7.11.1,MARK4
142,2.7.11.1,MAP4K2
143,2.7.11.1,RAF1
144,2.7.11.1,ROCK1
