,enzyme,R
0,2.7.11.1,R00162
1,2.7.11.1,R03632
2,2.7.11.24,R00162
3,2.7.12.2,R02584
4,2.7.11.25,R00162
5,2.3.1.250,R11201
6,2.7.11.13,R00162
7,2.4.1.41,R05907
8,2.4.2.12,R01271
9,3.1.3.16,R00164
10,3.1.3.48,R02585
11,2.7.10.1,R02584
12,5.3.1.6,R01056
13,5.3.1.6,R09030
14,2.7.7.6,R00435
15,2.7.7.6,R00441
16,2.7.7.6,R00442
17,2.7.7.6,R00443
18,2.7.7.6,R10813
19,2.7.11.11,R00162
20,2.8.1.7,R07460
21,2.8.1.7,R11528
22,2.8.1.7,R11529
23,2.7.1.68,R03469
24,3.5.1.124,R11562
25,3.5.1.124,R11563
26,3.5.1.124,R11564
27,1.14.16.2,R07212
28,1.14.16.2,R01815
29,2.7.10.2,R02584
30,5.1.3.17,R04389
31,2.8.2.5,R02180
32,2.8.2.17,R02181
33,2.8.2.17,R07288
34,2.7.1.154,R05795
35,2.7.1.154,R03362
36,2.7.1.153,R04545
37,2.8.2.21,R03553
38,2.7.1.67,R03361
39,2.7.6.2,R00619
40,1.5.1.2,R01248
41,1.5.1.2,R01251
42,1.5.1.2,R03291
43,1.5.1.2,R03293
44,2.1.1.314,R11165
45,2.6.1.2,R00258
46,6.3.4.4,R01135
47,2.3.2.13,R03983
48,3.4.19.12,R02418
49,4.1.1.17,R00670
50,2.4.2.31,R00555
51,2.4.1.122,R05908
52,2.4.1.122,R10436
53,1.8.3.2,R00057
54,2.7.11.22,R00162
55,2.7.11.12,R00162
56,3.1.1.1,R06728
57,3.1.1.1,R08255
58,3.1.1.1,R08258
59,3.1.1.1,R08220
60,3.1.1.1,R08249
61,3.1.1.1,R08251
62,3.1.1.1,R08295
63,3.1.1.1,R08300
64,3.1.1.84,R06728
65,3.1.1.56,R04141
66,2.3.1.4,R02058
67,3.6.1.13,R01054
68,3.2.1.21,R00026
69,3.2.1.21,R00306
70,3.2.1.21,R02558
71,3.2.1.21,R02887
