,reaction,compound
0,R00407,C00010
1,R00407,C00042
2,R00407,C00091
3,R00407,C00001
4,R00409,C00022
5,R00409,C00042
6,R00409,C04593
7,R00479,C00042
8,R00479,C00048
9,R00479,C00311
10,R00713,C00042
11,R00713,C00004
12,R00713,C00080
13,R00713,C00232
14,R00713,C00003
15,R00713,C00001
16,R00714,C00042
17,R00714,C00005
18,R00714,C00080
19,R00714,C00232
20,R00714,C00006
21,R00714,C00001
22,R00727,C00104
23,R00727,C00009
24,R00727,C00091
25,R00727,C00081
26,R00727,C00042
27,R00727,C00010
28,R00999,C00109
29,R00999,C00042
30,R00999,C00014
31,R00999,C01118
32,R00999,C00001
33,R01559,C00042
34,R01559,C00313
35,R01559,C00091
36,R01559,C00209
37,R01780,C00042
38,R01780,C00264
39,R01780,C00091
40,R01780,C01656
41,R02084,C00042
42,R02084,C00356
43,R02084,C00091
44,R02084,C03761
45,R02407,C00042
46,R02407,C00531
47,R02407,C00091
48,R02407,C00490
49,R02603,C04479
50,R02603,C00001
51,R02603,C00596
52,R02603,C00042
53,R02734,C00042
54,R02734,C00666
55,R02734,C04421
56,R02734,C00001
57,R02990,C00042
58,R02990,C02232
59,R02990,C00091
60,R02990,C00846
61,R03154,C00042
62,R03154,C01011
63,R03154,C00091
64,R03154,C02614
65,R04946,C05699
66,R04946,C00042
67,R04946,C01118
68,R04946,C05688
69,R05588,C09817
70,R05588,C00042
71,R05588,C09816
72,R05588,C00091
73,R06855,C06755
74,R06855,C00042
75,R06855,C12836
76,R06904,C14116
77,R06904,C00042
78,R06904,C14115
79,R06904,C00091
80,R10343,C00024
81,R10343,C00042
82,R10343,C00091
83,R10343,C00033
84,R10640,C00042
85,R10640,C20746
86,R10640,C00091
87,R10640,C02612
88,R10641,C00042
89,R10641,C20747
90,R10641,C00091
91,R10641,C00497
92,R10904,C00042
93,R10904,C06028
94,R10904,C00091
95,R10904,C01732
96,R11773,C00091
97,R11773,C00163
98,R11773,C00100
99,R11773,C00042
100,R01212,C00141
101,R01212,C00014
102,R01212,C00005
103,R01212,C00080
104,R01212,C00183
105,R01212,C00006
106,R01212,C00001
107,R01434,C00141
108,R01434,C00014
109,R01434,C00004
110,R01434,C00080
111,R01434,C00183
112,R01434,C00001
113,R01434,C00003
114,R01437,C02787
115,R01437,C00011
116,R01437,C00183
117,R02200,C00141
118,R02200,C00407
119,R02200,C00183
120,R02200,C00671
121,R08663,C03219
122,R08663,C03161
123,R08663,C00011
124,R08663,C00001
125,R08663,C00183
126,R08663,C00007
127,R08663,C03024
128,R10031,C20313
129,R10031,C03161
130,R10031,C00001
131,R10031,C00183
132,R10031,C00007
133,R10031,C03024
134,R04723,C00010
135,R04723,C05322
136,R04723,C00024
137,R04723,C05220
138,R04769,C06173
139,R04769,C00033
140,R04769,C05322
141,R04890,C05581
142,R04890,C00027
143,R04890,C00014
144,R04890,C05587
145,R04890,C00001
146,R04890,C00007
147,R08831,C17754
148,R08831,C00001
149,R08831,C05587
150,R08831,C08538
151,R00736,C00483
152,R00736,C00011
153,R00736,C00082
154,R02382,C03765
155,R02382,C00014
156,R02382,C00027
157,R02382,C00483
158,R02382,C00001
159,R02382,C00007
160,R02385,C00010
161,R02385,C02717
162,R02385,C00406
163,R02385,C00483
164,R08436,C21634
165,R08436,C00001
166,R08436,C00483
167,R08436,C16700
168,R01986,C00334
169,R01986,C00005
170,R01986,C00080
171,R01986,C00555
172,R01986,C00006
173,R01986,C00001
174,R01987,C02946
175,R01987,C00001
176,R01987,C00334
177,R01987,C00033
178,R01990,C00334
179,R01990,C00086
180,R01990,C01035
181,R01990,C00001
182,R01992,C00334
183,R01992,C00135
184,R01992,C00884
185,R01992,C00001
186,R02549,C00334
187,R02549,C00004
188,R02549,C00080
189,R02549,C00555
190,R02549,C00003
191,R02549,C00001
192,R08461,C16666
193,R08461,C00232
194,R08461,C00755
195,R08461,C00334
196,R10102,C00334
197,R10102,C00067
198,R10102,C00027
199,R10102,C15987
200,R10102,C00007
201,R10102,C00001
202,R10179,C00232
203,R10179,C00037
204,R10179,C00334
205,R10179,C00048
206,R03444,C04002
207,R03444,C00001
208,R03444,C01251
209,R01883,C00021
210,R01883,C00300
211,R01883,C00019
212,R01883,C00581
213,R02611,C00601
214,R02611,C00004
215,R02611,C00080
216,R02611,C05853
217,R02611,C00003
218,R01863,C00262
219,R01863,C00620
220,R01863,C00294
221,R01863,C00009
222,R01257,C00036
223,R01257,C01352
224,R01257,C00149
225,R01257,C00016
226,R05821,C11631
227,R05821,C00001
228,R05821,C00294
229,R05821,C00007
230,R08445,C12231
231,R08445,C03758
232,R07147,C00198
233,R07147,C00005
234,R07147,C00080
235,R07147,C00031
236,R07147,C00006
237,R01520,C00198
238,R01520,C00004
239,R01520,C00080
240,R01520,C00221
241,R01520,C00003
242,R06620,C00198
243,R06620,C00390
244,R06620,C00031
245,R06620,C00399
246,R01377,C00601
247,R01377,C00011
248,R01377,C00166
249,R01770,C00262
250,R01770,C00121
251,R01770,C00294
252,R01770,C00001
253,R10411,C00198
254,R10411,C00030
255,R10411,C00031
256,R10411,C00028
257,R02537,C07086
258,R02537,C00005
259,R02537,C00080
260,R02537,C00601
261,R02537,C00006
262,R02537,C00001
263,R00565,C00077
264,R00565,C00581
265,R00565,C00062
266,R00565,C00037
267,R02613,C00601
268,R02613,C00014
269,R02613,C00027
270,R02613,C05332
271,R02613,C00007
272,R02613,C00001
273,R00216,C00022
274,R00216,C00011
275,R00216,C00005
276,R00216,C00080
277,R00216,C00149
278,R00216,C00006
279,R02286,C01045
280,R02286,C00014
281,R02286,C00439
282,R02286,C00001
283,R02615,C00601
284,R02615,C02083
285,R04300,C04043
286,R04300,C00014
287,R04300,C00027
288,R04300,C03758
289,R04300,C00001
290,R04300,C00007
291,R02612,C00601
292,R02612,C00014
293,R02612,C00030
294,R02612,C05332
295,R02612,C00001
296,R02612,C00028
297,R01882,C00300
298,R01882,C00009
299,R01882,C02305
300,R01882,C00001
301,R01256,C00008
302,R01256,C00009
303,R01256,C04348
304,R01256,C00002
305,R01256,C00149
306,R01256,C00010
307,R00305,C00198
308,R00305,C15603
309,R00305,C00031
310,R00305,C15602
311,R10612,C00149
312,R10612,C00010
313,R10612,C04348
314,R10612,C00001
315,R11074,C00186
316,R11074,C00011
317,R11074,C00149
318,R05750,C07304
319,R05750,C00001
320,R05750,C03758
321,R05750,C01852
322,R02288,C00439
323,R02288,C03680
324,R02288,C00001
325,R01560,C00294
326,R01560,C00014
327,R01560,C00212
328,R01560,C00001
329,R01082,C00122
330,R01082,C00001
331,R01082,C00149
332,R08832,C17755
333,R08832,C00001
334,R08832,C03758
335,R08832,C00007
336,R00342,C00036
337,R00342,C00004
338,R00342,C00080
339,R00342,C00149
340,R00342,C00003
341,R05749,C07307
342,R05749,C00001
343,R05749,C03758
344,R05749,C01852
345,R01447,C00149
346,R01447,C00022
347,R01447,C00186
348,R01447,C00036
349,R04084,C02916
350,R04084,C00001
351,R04084,C04043
352,R04084,C03758
353,R01131,C00008
354,R01131,C00130
355,R01131,C00002
356,R01131,C00294
357,R00300,C00198
358,R00300,C00004
359,R00300,C00080
360,R00300,C00031
361,R00300,C00003
362,R02535,C00547
363,R02535,C05422
364,R02535,C00001
365,R02535,C03758
366,R02535,C00072
367,R02535,C00007
368,R00472,C00024
369,R00472,C00001
370,R00472,C00048
371,R00472,C00149
372,R00472,C00010
373,R00361,C00036
374,R00361,C15603
375,R00361,C00149
376,R00361,C15602
377,R02287,C00101
378,R02287,C00439
379,R02287,C00664
380,R02287,C00025
381,R01881,C00008
382,R01881,C02305
383,R01881,C00002
384,R01881,C00300
385,R01522,C00198
386,R01522,C00027
387,R01522,C00221
388,R01522,C00007
389,R08513,C16704
390,R08513,C03758
391,R00874,C00198
392,R00874,C00794
393,R00874,C00095
394,R00874,C00031
395,R04305,C06160
396,R04305,C00001
397,R04305,C03765
398,R04305,C03758
399,R01566,C00213
400,R01566,C00086
401,R01566,C00300
402,R01566,C00001
403,R10697,C00601
404,R10697,C20782
405,R00360,C00036
406,R00360,C00027
407,R00360,C00149
408,R00360,C00007
409,R00775,C00037
410,R00775,C00086
411,R00775,C00581
412,R00775,C00001
413,R08835,C08557
414,R08835,C00001
415,R08835,C03758
416,R08835,C08538
417,R01092,C00008
418,R01092,C00446
419,R01092,C00002
420,R01092,C00984
421,R03323,C00031
422,R03323,C02887
423,R03323,C01175
424,R03323,C00149
425,R04301,C00021
426,R04301,C05587
427,R04301,C00019
428,R04301,C03758
429,R01884,C00300
430,R01884,C00791
431,R01884,C00001
